column_name,label
отч,middle_name
inn_number,inn
Год Регистрации,year
customer_name,full_name
дата-рождения,birth_date
User_Surname,last_name
User_Lastname,last_name
tax_code,inn
birthdate,birth_date
family_name,last_name
creation_year,year
person_name,first_name
birth_date,birth_date
ГОД РЕГИСТРАЦИИ,year
clientname,first_name
client,full_name
contact,phone
year_number,year
телефон,phone
client_inn,inn
birthdate,birth_date
lastname,last_name
фамилия_клиента,last_name
годовой,year
clienttel,phone
ГОД,year
mobile,phone
family,last_name
отч.,middle_name
год-регистрации,year
second_name,last_name
dateofbirth,birth_date
mobile,phone
CONTACT_NUMBER,phone
birthdate,birth_date
имя_пользователя,first_name
YY,year
birth day,birth_date
Г.,year
dateofbirth,birth_date
number,phone
tax_code,inn
отчество,middle_name
инн_клиента,inn
миддлнейм,middle_name
userinn,inn
user_surname,last_name
отч,middle_name
current_year,year
yy,year
contactname,first_name
фамилияклиента,last_name
Birthdata,birth_date
год-отчетности,year
Tax_Code,inn
tel,phone
регистрационный_год,year
birthdate,birth_date
birthdate,birth_date
Фамилия_Пользователя,last_name
client_name,first_name
фамилия-клиента,last_name
ФАМИЛИЯ_ПОЛЬЗОВАТЕЛЯ,last_name
given_name,first_name
family-name,last_name
Годовой,year
фамилия,last_name
client_firstname,first_name
имя,first_name
день_роджения,birth_date
lastname,last_name
birth_date,birth_date
full_name,full_name
middle,middle_name
INN_NUMBER,inn
inn_number,inn
clientinn,inn
inn_code,inn
Дата_Рождения,birth_date
SURNAME,last_name
middle_name,middle_name
user_inn,inn
birthdata,birth_date
Taxpayer_Id,inn
клиент,full_name
фамилияпользователя,last_name
complete_name,full_name
Surname,last_name
Dateofbirth,birth_date
Year,year
user_inn,inn
ОТЧЕСТВО ПОКУПАТЕЛЯ,middle_name
Birth,birth_date
Firstname,first_name
Пользователь,full_name
birthdate,birth_date
CLIENT,full_name
client_name,first_name
yy,year
др,birth_date
отчество,middle_name
телефон,phone
reporting_year,year
ГОД,year
user_inn,inn
Identification_Number,inn
Phone,phone
inn_number,inn
год создания,year
Дата_Рождения,birth_date
user_inn,inn
inn,inn
др,birth_date
givenname,first_name
tax_id,inn
lastname,last_name
taxpayer_id,inn
IDENTIFICATION_NUMBER,inn
Second_Name,last_name
Year,year
customer_name,full_name
тел.,phone
user_inn,inn
Отч.,middle_name
Birth Date,birth_date
Inn_Code,inn
client_firstname,first_name
full_name,full_name
ИНН,inn
миддлнейм,middle_name
complete_name,full_name
NUMBER,phone
birth-date,birth_date
дата рождения,birth_date
Тел.,phone
инн_клиента,inn
second_name,last_name
дата_рождения,birth_date
иннклиента,inn
client,full_name
отчество клиента,middle_name
identification_number,inn
Др,birth_date
фио,full_name
FULL,full_name
surname,last_name
Dateofbirth,birth_date
Отч.,middle_name
username,first_name
financial_year,year
Family Name,last_name
client_tel,phone
дата_рождения,birth_date
отчество-покупателя,middle_name
Г.,year
number,phone
current_year,year
contact_number,phone
dateofbirth,birth_date
инн,inn
given_name,first_name
client_tel,phone
Дата_Рождения,birth_date
фамилияклиента,last_name
fiscal_year,year
Отч.,middle_name
имя-клиента,first_name
person_name,first_name
NUM,phone
surname,last_name
fio,full_name
отчество,middle_name
birthdate,birth_date
BIRTH,birth_date
customername,full_name
г.,year
client_inn,inn
имя_пользователя,first_name
firstname,first_name
год регистрации,year
dateofbirth,birth_date
mobile,phone
family_name,last_name
contact_person,full_name
user_name,first_name
clienttel,phone
Full,full_name
userphone,phone
Tax_Id,inn
phone_num,phone
отчество_покупателя,middle_name
Tax,inn
person_name,first_name
User_Phone,phone
birth,birth_date
birthdate,birth_date
User_Inn,inn
client_name,first_name
user_inn,inn
family,last_name
CELLPHONE,phone
user_name,first_name
contact_name,first_name
Client_Tel,phone
bdate,birth_date
Годовой,year
МОБИЛЬНЫЙ ТЕЛ,phone
First Name,first_name
ИМЯ КЛИЕНТА,first_name
миддлнейм,middle_name
ГОД ОТЧЕТНОСТИ,year
миддлнейм,middle_name
contact_name,first_name
num,phone
second_name,last_name
customer_name,full_name
dob,birth_date
годовой,year
full_name,full_name
FULLNAME,full_name
usermiddlename,middle_name
middle,middle_name
Client_Tel,phone
ГОД РЕГИСТРАЦИИ,year
lastname,last_name
пользователь,full_name
ФАМИЛИЯ КЛИЕНТА,last_name
surname,last_name
financial_year,year
client_name,first_name
whatsapp,phone
Отчество Клиента,middle_name
CUSTOMER_NAME,full_name
год выпуска,year
first-name,first_name
first-name,first_name
миддлнейм,middle_name
фамилия клиента,last_name
person_name,first_name
full,full_name
taxid,inn
год_выпуска,year
Tax_Number,inn
Name,first_name
contact,phone
НОМЕР ТЕЛЕФОНА,phone
BIRTHDATA,birth_date
Date Of Birth,birth_date
family name,last_name
день-рождения,birth_date
mobile,phone
contactname,first_name
fio,full_name
Фамилия,last_name
тел_клиента,phone
middlename,middle_name
number,phone
CONTACT_PERSON,full_name
phone_number,phone
ГОД,year
инн_клиента,inn
first name,first_name
фамилияимяотчество,full_name
Client_Inn,inn
год,year
currentyear,year
patronymic,middle_name
Фамилия Клиента,last_name
lastname,last_name
ФАМИЛИЯ_ПОЛЬЗОВАТЕЛЯ,last_name
creation_year,year
YYYY,year
family_name,last_name
МИДДЛНЕЙМ,middle_name
год,year
family,last_name
second_name,last_name
firstname,first_name
миддлнейм,middle_name
дата-роджения,birth_date
User_Name,first_name
inn_code,inn
family,last_name
birthdate,birth_date
BIRTH DATE,birth_date
tax,inn
годвыпуска,year
taxpayer_id,inn
tax_id,inn
Год Выпуска,year
userphone,phone
birthdate,birth_date
ДР,birth_date
creation_year,year
num,phone
yyyy,year
год регистрации,year
дата_рождения,birth_date
годсоздания,year
family_name,last_name
USERNAME,first_name
фамилияимяотчество,full_name
Person_Name,first_name
имя_пользователя,first_name
Фио,full_name
фамилия-клиента,last_name
Birthdate,birth_date
taxpayer_id,inn
Имя Клиента,first_name
family,last_name
birth,birth_date
